"id","name","code","iso_code","direction","grouping","decimal_point","thousands_sep","date_format","time_format","translatable","week_start"
"base.lang_en","English","en_US","en","Left-to-Right","[3,0]",".",",","%m/%d/%Y","%H:%M:%S","True","7"
"base.lang_bn_BD","Bangla / বাংলা","bn_BD","bn_BD","Left-to-Right","[]",",",,"%A %d %b %Y","%I:%M:%S","True","1"
